topic,month_start,negative,neutral,positive,total_count,positive_ratio,negative_ratio,neutral_ratio,sentiment_score,score_diff,negative_ratio_diff,rolling_score_mean,rolling_volume_mean,rolling_score_diff,is_drift,drift_type
vinfast_vf3,2024-05-01,88,167,72,327,0.220183486,0.26911315,0.510703364,-0.048929664,,,,,,FALSE,normal
vinfast_vf3,2024-06-01,8,5,2,15,0.133333333,0.533333333,0.333333333,-0.4,-0.351070336,0.264220183,,,,FALSE,not_enough_volume
vinfast_vf3,2024-07-01,1,3,2,6,0.333333333,0.166666667,0.5,0.166666667,0.566666667,-0.366666667,-0.224464832,171,0.391131498,FALSE,not_enough_volume
vinfast_vf3,2024-08-01,104,187,91,382,0.238219895,0.272251309,0.489528796,-0.034031414,-0.20069808,0.105584642,-0.094087666,116,0.060056252,TRUE,volume_spike
vinfast_vf3,2024-09-01,1,0,0,1,0,1,0,-1,-0.965968586,0.727748691,-0.089121582,134.3333333,-0.910878418,FALSE,not_enough_volume
vinfast_vf3,2024-10-01,0,0,2,2,1,0,0,1,2,-1,-0.289121582,129.6666667,1.289121582,FALSE,not_enough_volume
vinfast_vf3,2024-11-01,0,2,1,3,0.333333333,0,0.666666667,0.333333333,-0.666666667,0,-0.011343805,128.3333333,0.344677138,FALSE,not_enough_volume
vinfast_vf3,2024-12-01,1,0,2,3,0.666666667,0.333333333,0,0.333333333,0,0.333333333,0.111111111,2,0.222222222,FALSE,not_enough_volume
vinfast_vf3,2025-01-01,23,38,7,68,0.102941176,0.338235294,0.558823529,-0.235294118,-0.568627451,0.004901961,0.555555556,2.666666667,-0.790849673,TRUE,"score_drift, rolling_baseline_drift, volume_spike"
vinfast_vf3,2025-02-01,7,9,3,19,0.157894737,0.368421053,0.473684211,-0.210526316,0.024767802,0.030185759,0.14379085,24.66666667,-0.354317165,FALSE,not_enough_volume
vinfast_vf3,2025-03-01,11,11,7,29,0.24137931,0.379310345,0.379310345,-0.137931034,0.072595281,0.010889292,-0.0374957,30,-0.100435334,FALSE,not_enough_volume
vinfast_vf3,2025-04-01,6,12,7,25,0.28,0.24,0.48,0.04,0.177931034,-0.139310345,-0.194583823,38.66666667,0.234583823,FALSE,not_enough_volume
